block,neighbourhood,street,jewish_insitute,public_institution,gas_station,banco,car_thefts,month,education,employment_rate
730.0,Once,Jean Jaures,1.0,0.0,0.0,0.0,0.0,4.0,12.027979850769043,0.95287024974823
728.0,Once,Jean Jaures,0.0,0.0,0.0,0.0,0.0,4.0,12.027979850769043,0.95287024974823
849.0,Once,Lavalle,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
847.0,Once,Lavalle,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
854.0,Once,Tucuman,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
855.0,Once,Tucuman,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
852.0,Once,Tucuman,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
856.0,Once,Tucuman,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
853.0,Once,Tucuman,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
538.0,V. Crespo,Lavalleja,0.0,0.0,0.0,0.0,1.0,4.0,9.721518516540527,0.9285714030265808
544.0,V. Crespo,Frias,0.0,0.0,0.0,0.0,0.0,4.0,9.721518516540527,0.9285714030265808
678.0,V. Crespo,Vera,0.0,0.0,0.0,0.0,0.0,4.0,11.321651458740234,0.9536231756210327
690.0,V. Crespo,Velasco,0.0,0.0,0.0,0.0,0.0,4.0,11.321651458740234,0.9536231756210327
545.0,V. Crespo,Frias,0.0,0.0,0.0,0.0,0.0,4.0,9.721518516540527,0.9285714030265808
677.0,V. Crespo,Vera,0.0,0.0,0.0,0.0,0.0,4.0,11.321651458740234,0.9536231756210327
539.0,V. Crespo,Lavalleja,0.0,0.0,0.0,0.0,0.0,4.0,9.721518516540527,0.9285714030265808
710.0,V. Crespo,Luis Maria Drago,0.0,0.0,0.0,0.0,0.0,4.0,11.839622497558594,0.9515738487243652
667.0,V. Crespo,Corrientes,0.0,0.0,0.0,1.0,0.0,4.0,11.321651458740234,0.9536231756210327
